id,location,fault_severity,severity_type,resource_type,log_feature,volume,event_type
15773,location 445,0,severity_type 2,resource_type 2,feature 232,7,event_type 35
6531,location 478,0,severity_type 2,resource_type 2,feature 234,51,event_type 34
16009,location 661,0,severity_type 2,resource_type 7,feature 75,1,event_type 22
11930,location 380,0,severity_type 2,resource_type 2,feature 312,7,event_type 35
8541,location 242,0,severity_type 2,resource_type 2,feature 232,6,event_type 35
11019,location 1082,0,severity_type 1,resource_type 8,feature 68,1,event_type 11
8274,location 181,0,severity_type 2,resource_type 2,feature 233,2,event_type 34
722,location 1007,0,severity_type 1,resource_type 8,feature 201,2,event_type 11
12305,location 131,1,severity_type 2,resource_type 2,feature 301,1,event_type 35
11444,location 1007,1,severity_type 1,resource_type 8,feature 80,6,event_type 15
4006,location 931,1,severity_type 1,resource_type 8,feature 201,1,event_type 11
9231,location 980,1,severity_type 1,resource_type 8,feature 80,1,event_type 11
6821,location 118,0,severity_type 1,resource_type 2,feature 232,11,event_type 34
12888,location 373,0,severity_type 2,resource_type 2,feature 232,1,event_type 34
6779,location 169,0,severity_type 2,resource_type 2,feature 307,2,event_type 35
11232,location 421,0,severity_type 1,resource_type 2,feature 307,3,event_type 34
11685,location 779,2,severity_type 2,resource_type 8,feature 82,42,event_type 15
1318,location 690,1,severity_type 1,resource_type 8,feature 219,1,event_type 11
909,location 59,1,severity_type 2,resource_type 8,feature 171,1,event_type 11
18511,location 648,1,severity_type 1,resource_type 6,feature 345,2,event_type 11
16460,location 478,0,severity_type 2,resource_type 2,feature 309,21,event_type 34
12008,location 118,0,severity_type 2,resource_type 2,feature 232,13,event_type 34
6811,location 124,0,severity_type 2,resource_type 2,feature 235,5,event_type 35
16071,location 7,0,severity_type 1,resource_type 8,feature 171,3,event_type 11
4486,location 12,0,severity_type 1,resource_type 8,feature 74,1,event_type 11
183,location 1026,1,severity_type 1,resource_type 6,feature 273,2,event_type 13
5729,location 270,0,severity_type 4,resource_type 2,feature 313,1,event_type 35
15368,location 1106,0,severity_type 1,resource_type 8,feature 170,27,event_type 11
5064,location 1090,0,severity_type 1,resource_type 8,feature 202,10,event_type 11
11530,location 522,0,severity_type 2,resource_type 2,feature 312,3,event_type 35
14860,location 1007,0,severity_type 1,resource_type 8,feature 80,2,event_type 15
13166,location 836,0,severity_type 1,resource_type 8,feature 73,1,event_type 11
14528,location 145,0,severity_type 2,resource_type 2,feature 232,2,event_type 34
4202,location 895,1,severity_type 2,resource_type 2,feature 376,5,event_type 44
3916,location 1020,1,severity_type 1,resource_type 8,feature 209,2,event_type 11
11454,location 804,1,severity_type 1,resource_type 2,feature 219,1,event_type 20
12297,location 1055,0,severity_type 1,resource_type 8,feature 193,81,event_type 11
553,location 798,0,severity_type 1,resource_type 8,feature 82,38,event_type 11
10390,location 1052,1,severity_type 1,resource_type 8,feature 82,12,event_type 15
5056,location 122,0,severity_type 2,resource_type 2,feature 313,3,event_type 34
10503,location 157,0,severity_type 2,resource_type 2,feature 232,1,event_type 35
1835,location 802,1,severity_type 1,resource_type 8,feature 68,3,event_type 18
10085,location 242,0,severity_type 2,resource_type 2,feature 314,71,event_type 34
13807,location 893,0,severity_type 1,resource_type 2,feature 376,30,event_type 43
11318,location 457,0,severity_type 2,resource_type 2,feature 233,35,event_type 35
533,location 99,0,severity_type 4,resource_type 2,feature 312,1,event_type 35
10538,location 839,1,severity_type 1,resource_type 8,feature 54,49,event_type 11
11549,location 719,0,severity_type 1,resource_type 2,feature 134,1,event_type 20
16900,location 793,0,severity_type 1,resource_type 8,feature 195,2,event_type 11
599,location 1109,0,severity_type 1,resource_type 2,feature 134,1,event_type 20
11700,location 648,0,severity_type 1,resource_type 4,feature 54,3,event_type 11
18331,location 957,0,severity_type 2,resource_type 8,feature 171,1,event_type 11
5381,location 600,2,severity_type 2,resource_type 8,feature 203,8,event_type 15
13638,location 665,0,severity_type 1,resource_type 8,feature 55,16,event_type 11
2703,location 846,0,severity_type 2,resource_type 8,feature 82,2,event_type 15
13686,location 1107,0,severity_type 2,resource_type 8,feature 193,1,event_type 15
6240,location 1052,2,severity_type 1,resource_type 2,feature 203,4,event_type 15
8546,location 1107,0,severity_type 1,resource_type 8,feature 71,15,event_type 11
4578,location 948,0,severity_type 2,resource_type 8,feature 170,1,event_type 11
15870,location 646,0,severity_type 1,resource_type 8,feature 203,10,event_type 11
17084,location 302,0,severity_type 4,resource_type 2,feature 301,1,event_type 35
4114,location 273,0,severity_type 1,resource_type 8,feature 68,1,event_type 11
8011,location 1,0,severity_type 2,resource_type 8,feature 68,7,event_type 15
6588,location 124,0,severity_type 2,resource_type 2,feature 315,3,event_type 35
12490,location 704,2,severity_type 1,resource_type 8,feature 71,1,event_type 11
3975,location 476,0,severity_type 2,resource_type 2,feature 312,5,event_type 35
4720,location 152,0,severity_type 2,resource_type 2,feature 312,3,event_type 35
15209,location 734,0,severity_type 1,resource_type 8,feature 193,4,event_type 15
6092,location 1076,1,severity_type 2,resource_type 8,feature 56,1,event_type 15
9426,location 798,0,severity_type 1,resource_type 8,feature 203,12,event_type 11
2307,location 520,0,severity_type 2,resource_type 2,feature 312,12,event_type 34
13291,location 1046,0,severity_type 1,resource_type 8,feature 345,2,event_type 11
17245,location 803,1,severity_type 2,resource_type 8,feature 68,1,event_type 11
11726,location 963,0,severity_type 1,resource_type 8,feature 195,129,event_type 11
15486,location 821,0,severity_type 1,resource_type 8,feature 193,1,event_type 15
9033,location 1061,2,severity_type 1,resource_type 8,feature 80,4,event_type 11
9959,location 714,0,severity_type 1,resource_type 8,feature 68,4,event_type 11
3798,location 242,0,severity_type 2,resource_type 2,feature 314,13,event_type 35
15624,location 613,1,severity_type 1,resource_type 8,feature 193,5,event_type 11
5995,location 91,0,severity_type 2,resource_type 2,feature 314,1,event_type 35
9644,location 1007,0,severity_type 1,resource_type 8,feature 201,3,event_type 11
10779,location 300,0,severity_type 2,resource_type 2,feature 312,13,event_type 34
9734,location 272,1,severity_type 2,resource_type 2,feature 312,1,event_type 34
14954,location 1106,1,severity_type 1,resource_type 8,feature 54,13,event_type 11
15493,location 611,0,severity_type 1,resource_type 2,feature 134,2,event_type 20
6222,location 724,1,severity_type 1,resource_type 8,feature 68,1,event_type 11
17390,location 173,1,severity_type 2,resource_type 2,feature 233,1,event_type 34
6826,location 943,1,severity_type 1,resource_type 8,feature 68,1,event_type 11
8611,location 821,2,severity_type 1,resource_type 8,feature 82,21,event_type 11
9087,location 795,0,severity_type 2,resource_type 8,feature 51,13,event_type 15
17472,location 733,1,severity_type 1,resource_type 8,feature 206,2,event_type 11
12760,location 249,0,severity_type 2,resource_type 2,feature 232,2,event_type 34
4963,location 704,2,severity_type 2,resource_type 8,feature 203,9,event_type 15
6225,location 821,1,severity_type 1,resource_type 8,feature 74,1,event_type 11
7959,location 802,0,severity_type 1,resource_type 6,feature 345,2,event_type 13
1773,location 957,1,severity_type 1,resource_type 2,feature 202,2,event_type 54
6136,location 408,1,severity_type 2,resource_type 2,feature 315,2,event_type 34
5965,location 723,1,severity_type 1,resource_type 8,feature 209,2,event_type 11
5390,location 255,0,severity_type 2,resource_type 2,feature 312,4,event_type 35
13663,location 655,2,severity_type 1,resource_type 8,feature 158,14,event_type 11
4501,location 888,0,severity_type 1,resource_type 2,feature 134,2,event_type 20
13442,location 704,1,severity_type 2,resource_type 8,feature 82,8,event_type 15
6958,location 989,0,severity_type 2,resource_type 8,feature 68,1,event_type 11
16339,location 1015,0,severity_type 1,resource_type 8,feature 54,4,event_type 11
9372,location 1019,0,severity_type 1,resource_type 8,feature 196,22,event_type 15
5576,location 692,1,severity_type 1,resource_type 8,feature 170,1,event_type 11
663,location 653,0,severity_type 1,resource_type 2,feature 82,27,event_type 54
1473,location 945,1,severity_type 1,resource_type 8,feature 202,4,event_type 11
949,location 651,0,severity_type 1,resource_type 8,feature 83,1,event_type 11
10513,location 1106,0,severity_type 1,resource_type 8,feature 54,1,event_type 11
14289,location 763,1,severity_type 1,resource_type 8,feature 196,2,event_type 11
15260,location 416,0,severity_type 4,resource_type 2,feature 301,2,event_type 35
9812,location 830,0,severity_type 1,resource_type 8,feature 54,108,event_type 11
4916,location 704,2,severity_type 2,resource_type 8,feature 82,14,event_type 15
17515,location 1024,2,severity_type 1,resource_type 8,feature 42,7,event_type 11
17388,location 497,0,severity_type 2,resource_type 2,feature 232,2,event_type 35
4450,location 890,0,severity_type 2,resource_type 8,feature 73,3,event_type 11
16258,location 849,0,severity_type 2,resource_type 8,feature 109,13,event_type 11
10528,location 208,0,severity_type 1,resource_type 2,feature 219,1,event_type 20
4003,location 255,1,severity_type 2,resource_type 2,feature 312,3,event_type 34
3954,location 139,1,severity_type 1,resource_type 2,feature 313,1,event_type 20
13945,location 914,1,severity_type 1,resource_type 4,feature 306,1,event_type 23
15607,location 326,0,severity_type 1,resource_type 2,feature 135,2,event_type 21
11897,location 937,0,severity_type 1,resource_type 8,feature 204,2,event_type 11
12609,location 1086,0,severity_type 2,resource_type 8,feature 82,10,event_type 15
10122,location 506,0,severity_type 2,resource_type 2,feature 313,6,event_type 35
7886,location 149,0,severity_type 4,resource_type 2,feature 307,1,event_type 35
15771,location 846,0,severity_type 2,resource_type 8,feature 82,8,event_type 15
17681,location 865,0,severity_type 1,resource_type 8,feature 54,2,event_type 11
15863,location 925,2,severity_type 1,resource_type 8,feature 170,12,event_type 11
17690,location 798,1,severity_type 2,resource_type 8,feature 203,5,event_type 15
8606,location 243,0,severity_type 2,resource_type 2,feature 234,63,event_type 34
11362,location 193,0,severity_type 2,resource_type 2,feature 314,1,event_type 35
4604,location 723,0,severity_type 1,resource_type 8,feature 87,1,event_type 11
5480,location 471,0,severity_type 2,resource_type 2,feature 233,2,event_type 34
12277,location 1107,2,severity_type 1,resource_type 8,feature 82,129,event_type 11
1400,location 375,0,severity_type 2,resource_type 2,feature 313,5,event_type 34
6687,location 91,0,severity_type 2,resource_type 2,feature 235,289,event_type 35
11153,location 1047,0,severity_type 2,resource_type 8,feature 55,2,event_type 11
8313,location 798,2,severity_type 2,resource_type 8,feature 82,37,event_type 15
5787,location 490,0,severity_type 2,resource_type 2,feature 312,1,event_type 35
741,location 1051,0,severity_type 1,resource_type 8,feature 207,1,event_type 11
16502,location 763,0,severity_type 2,resource_type 8,feature 82,12,event_type 15
4036,location 896,0,severity_type 1,resource_type 2,feature 375,8,event_type 42
5029,location 1011,0,severity_type 1,resource_type 2,feature 134,1,event_type 20
18158,location 834,1,severity_type 2,resource_type 8,feature 203,4,event_type 15
18441,location 118,0,severity_type 2,resource_type 2,feature 312,16,event_type 35
4268,location 97,0,severity_type 4,resource_type 2,feature 312,2,event_type 35
4092,location 1019,0,severity_type 1,resource_type 8,feature 82,12,event_type 15
16819,location 226,0,severity_type 4,resource_type 2,feature 312,1,event_type 35
7774,location 962,2,severity_type 2,resource_type 8,feature 203,4,event_type 15
5824,location 885,0,severity_type 2,resource_type 8,feature 70,1,event_type 11
7295,location 821,1,severity_type 1,resource_type 8,feature 193,1,event_type 11
18146,location 812,0,severity_type 1,resource_type 8,feature 18,2,event_type 11
17409,location 816,2,severity_type 1,resource_type 8,feature 170,154,event_type 13
6095,location 638,0,severity_type 4,resource_type 2,feature 376,4,event_type 42
9032,location 945,0,severity_type 1,resource_type 8,feature 191,6,event_type 11
5210,location 468,0,severity_type 2,resource_type 2,feature 312,12,event_type 34
11177,location 380,0,severity_type 2,resource_type 2,feature 312,3,event_type 35
12324,location 1109,1,severity_type 1,resource_type 8,feature 273,2,event_type 11
1697,location 1122,0,severity_type 1,resource_type 2,feature 219,1,event_type 20
3106,location 1098,1,severity_type 2,resource_type 8,feature 207,1,event_type 11
7824,location 376,0,severity_type 1,resource_type 2,feature 221,1,event_type 34
2588,location 1,0,severity_type 1,resource_type 8,feature 82,9,event_type 15
13644,location 303,0,severity_type 4,resource_type 2,feature 312,1,event_type 35
13082,location 126,0,severity_type 2,resource_type 2,feature 227,6,event_type 34
8150,location 520,0,severity_type 2,resource_type 2,feature 232,9,event_type 35
6234,location 734,0,severity_type 1,resource_type 8,feature 71,5,event_type 11
10350,location 507,0,severity_type 2,resource_type 2,feature 312,27,event_type 35
13538,location 709,0,severity_type 1,resource_type 8,feature 73,2,event_type 11
2338,location 466,0,severity_type 2,resource_type 2,feature 234,2,event_type 35
17947,location 466,0,severity_type 2,resource_type 2,feature 228,2,event_type 35
9786,location 12,0,severity_type 2,resource_type 8,feature 178,1,event_type 15
9514,location 1102,0,severity_type 2,resource_type 8,feature 65,2,event_type 11
13670,location 998,0,severity_type 2,resource_type 8,feature 54,1,event_type 11
15482,location 727,0,severity_type 1,resource_type 8,feature 209,1,event_type 11
12517,location 76,1,severity_type 1,resource_type 8,feature 171,2,event_type 11
411,location 734,1,severity_type 1,resource_type 8,feature 80,3,event_type 11
10237,location 830,0,severity_type 1,resource_type 8,feature 170,31,event_type 11
12734,location 798,0,severity_type 1,resource_type 8,feature 203,6,event_type 11
10863,location 309,0,severity_type 2,resource_type 2,feature 232,2,event_type 34
11390,location 737,0,severity_type 2,resource_type 8,feature 42,2,event_type 11
5260,location 1111,0,severity_type 1,resource_type 8,feature 207,1,event_type 11
8244,location 314,1,severity_type 2,resource_type 2,feature 313,2,event_type 34
4161,location 1023,1,severity_type 1,resource_type 9,feature 217,1,event_type 29
16354,location 658,0,severity_type 1,resource_type 8,feature 161,1,event_type 11
15236,location 477,0,severity_type 2,resource_type 2,feature 234,36,event_type 35
14877,location 990,0,severity_type 1,resource_type 8,feature 170,4,event_type 11
4810,location 445,0,severity_type 2,resource_type 2,feature 312,9,event_type 35
4637,location 618,0,severity_type 4,resource_type 7,feature 306,2,event_type 23
14124,location 758,1,severity_type 1,resource_type 8,feature 68,1,event_type 11
4737,location 488,0,severity_type 2,resource_type 2,feature 234,2,event_type 34
5377,location 643,1,severity_type 1,resource_type 2,feature 368,2,event_type 42
14696,location 834,0,severity_type 2,resource_type 8,feature 82,24,event_type 15
2880,location 607,1,severity_type 1,resource_type 4,feature 68,3,event_type 40
17021,location 141,0,severity_type 4,resource_type 2,feature 307,1,event_type 35
11043,location 497,0,severity_type 2,resource_type 2,feature 313,27,event_type 35
6,location 332,1,severity_type 2,resource_type 2,feature 227,1,event_type 34
2380,location 821,1,severity_type 1,resource_type 8,feature 82,13,event_type 54
6563,location 794,0,severity_type 1,resource_type 7,feature 306,1,event_type 14
2273,location 814,0,severity_type 1,resource_type 8,feature 70,15,event_type 11
1743,location 794,1,severity_type 1,resource_type 4,feature 223,1,event_type 23
12919,location 921,2,severity_type 2,resource_type 8,feature 82,4,event_type 15
7922,location 742,0,severity_type 1,resource_type 2,feature 201,1,event_type 54
8201,location 897,0,severity_type 4,resource_type 2,feature 374,2,event_type 50
13659,location 466,0,severity_type 2,resource_type 2,feature 307,3,event_type 35
2861,location 1107,0,severity_type 1,resource_type 8,feature 193,1,event_type 11
17883,location 744,2,severity_type 1,resource_type 8,feature 54,13,event_type 13
17057,location 122,0,severity_type 2,resource_type 2,feature 232,1,event_type 34
12316,location 240,0,severity_type 2,resource_type 2,feature 227,2,event_type 35
12541,location 691,0,severity_type 1,resource_type 8,feature 134,1,event_type 23
363,location 809,0,severity_type 1,resource_type 8,feature 71,5,event_type 11
4166,location 549,1,severity_type 1,resource_type 8,feature 171,4,event_type 39
8354,location 810,0,severity_type 2,resource_type 8,feature 193,1,event_type 15
9160,location 1089,1,severity_type 1,resource_type 8,feature 170,7,event_type 11
1476,location 266,0,severity_type 4,resource_type 2,feature 312,2,event_type 35
8193,location 1010,1,severity_type 1,resource_type 8,feature 195,5,event_type 11
12708,location 1094,1,severity_type 1,resource_type 8,feature 74,2,event_type 11
13410,location 345,0,severity_type 2,resource_type 2,feature 44,1,event_type 11
12066,location 501,0,severity_type 2,resource_type 2,feature 315,2,event_type 35
8570,location 939,0,severity_type 1,resource_type 8,feature 193,1,event_type 11
4204,location 957,0,severity_type 1,resource_type 8,feature 55,2,event_type 11
18290,location 373,0,severity_type 2,resource_type 2,feature 232,69,event_type 34
11441,location 684,2,severity_type 2,resource_type 8,feature 203,4,event_type 15
17975,location 1094,1,severity_type 1,resource_type 8,feature 66,1,event_type 11
11262,location 821,0,severity_type 2,resource_type 8,feature 82,14,event_type 15
3768,location 823,0,severity_type 1,resource_type 8,feature 71,5,event_type 11
11418,location 244,0,severity_type 2,resource_type 2,feature 232,52,event_type 35
13813,location 857,1,severity_type 1,resource_type 8,feature 204,2,event_type 11
1665,location 846,1,severity_type 2,resource_type 8,feature 82,17,event_type 15
4170,location 1065,0,severity_type 1,resource_type 2,feature 134,1,event_type 20
12798,location 1008,0,severity_type 2,resource_type 8,feature 82,18,event_type 15
681,location 1099,0,severity_type 1,resource_type 8,feature 70,5,event_type 11
319,location 1099,0,severity_type 1,resource_type 8,feature 202,2,event_type 11
17956,location 300,0,severity_type 2,resource_type 2,feature 313,8,event_type 34
429,location 793,0,severity_type 1,resource_type 8,feature 195,37,event_type 11
6663,location 906,1,severity_type 1,resource_type 8,feature 202,4,event_type 11
10586,location 404,1,severity_type 1,resource_type 2,feature 219,1,event_type 35
8583,location 1117,0,severity_type 1,resource_type 8,feature 55,3,event_type 11
8030,location 461,0,severity_type 2,resource_type 2,feature 312,3,event_type 35
5099,location 95,0,severity_type 2,resource_type 2,feature 230,6,event_type 35
446,location 1056,1,severity_type 1,resource_type 6,feature 170,1,event_type 11
5725,location 995,1,severity_type 2,resource_type 8,feature 203,2,event_type 15
15436,location 893,0,severity_type 1,resource_type 2,feature 368,10,event_type 42
6758,location 500,0,severity_type 2,resource_type 2,feature 315,1,event_type 35
6449,location 122,0,severity_type 2,resource_type 2,feature 313,5,event_type 35
4552,location 613,1,severity_type 1,resource_type 8,feature 203,4,event_type 54
17865,location 846,0,severity_type 2,resource_type 8,feature 203,11,event_type 15
1645,location 653,1,severity_type 2,resource_type 8,feature 203,2,event_type 15
1308,location 100,0,severity_type 2,resource_type 2,feature 230,1,event_type 34
8781,location 311,1,severity_type 2,resource_type 2,feature 312,7,event_type 34
831,location 126,0,severity_type 2,resource_type 2,feature 313,3,event_type 34
15145,location 1107,0,severity_type 2,resource_type 8,feature 71,1,event_type 15
17654,location 477,0,severity_type 1,resource_type 8,feature 211,1,event_type 34
603,location 507,0,severity_type 2,resource_type 2,feature 229,2,event_type 35
5962,location 390,0,severity_type 2,resource_type 2,feature 315,1,event_type 35
11520,location 756,0,severity_type 1,resource_type 8,feature 68,1,event_type 11
10341,location 90,0,severity_type 2,resource_type 2,feature 232,4,event_type 34
5070,location 684,0,severity_type 1,resource_type 8,feature 203,14,event_type 15
1197,location 479,0,severity_type 2,resource_type 2,feature 314,10,event_type 34
6187,location 734,1,severity_type 1,resource_type 8,feature 74,1,event_type 11
733,location 1106,0,severity_type 1,resource_type 8,feature 54,16,event_type 11
2242,location 124,0,severity_type 2,resource_type 2,feature 307,2,event_type 34
479,location 1025,0,severity_type 1,resource_type 8,feature 188,1,event_type 11
12362,location 473,0,severity_type 2,resource_type 2,feature 315,4,event_type 35
14596,location 314,0,severity_type 2,resource_type 2,feature 313,1,event_type 35
6801,location 1107,1,severity_type 1,resource_type 8,feature 203,7,event_type 11
4896,location 249,1,severity_type 1,resource_type 8,feature 160,3,event_type 11
3287,location 613,1,severity_type 1,resource_type 8,feature 203,4,event_type 11
8377,location 161,1,severity_type 2,resource_type 2,feature 312,2,event_type 34
14233,location 1029,0,severity_type 1,resource_type 8,feature 171,2,event_type 11
5065,location 711,0,severity_type 1,resource_type 8,feature 172,2,event_type 11
6233,location 375,0,severity_type 2,resource_type 2,feature 313,50,event_type 35
4160,location 97,0,severity_type 1,resource_type 2,feature 219,1,event_type 20
16840,location 244,0,severity_type 2,resource_type 2,feature 232,31,event_type 34
18192,location 1054,0,severity_type 1,resource_type 8,feature 73,2,event_type 11
7711,location 974,0,severity_type 2,resource_type 8,feature 209,2,event_type 11
7254,location 810,1,severity_type 1,resource_type 8,feature 193,1,event_type 15
3214,location 734,0,severity_type 1,resource_type 8,feature 82,4,event_type 15
14597,location 1115,1,severity_type 1,resource_type 8,feature 73,1,event_type 11
15086,location 867,2,severity_type 1,resource_type 8,feature 204,2,event_type 11
8686,location 326,0,severity_type 1,resource_type 2,feature 308,1,event_type 21
16989,location 931,2,severity_type 1,resource_type 1,feature 203,3,event_type 20
420,location 686,0,severity_type 1,resource_type 8,feature 305,1,event_type 22
16891,location 242,0,severity_type 2,resource_type 2,feature 314,61,event_type 35
8046,location 899,1,severity_type 1,resource_type 2,feature 378,1,event_type 44
7484,location 202,0,severity_type 1,resource_type 2,feature 134,1,event_type 35
14880,location 923,0,severity_type 1,resource_type 8,feature 195,1,event_type 11
16049,location 894,0,severity_type 1,resource_type 2,feature 290,3,event_type 43
227,location 771,0,severity_type 2,resource_type 8,feature 71,2,event_type 15
1387,location 95,0,severity_type 2,resource_type 2,feature 227,1,event_type 35
12011,location 485,0,severity_type 2,resource_type 2,feature 232,5,event_type 35
6123,location 974,0,severity_type 1,resource_type 8,feature 87,2,event_type 11
8935,location 919,0,severity_type 1,resource_type 8,feature 202,2,event_type 11
2865,location 1009,0,severity_type 1,resource_type 8,feature 73,1,event_type 11
17241,location 814,0,severity_type 2,resource_type 8,feature 70,2,event_type 11
5237,location 973,0,severity_type 1,resource_type 2,feature 219,1,event_type 20
3185,location 120,1,severity_type 2,resource_type 2,feature 312,1,event_type 35
4691,location 504,0,severity_type 1,resource_type 2,feature 229,2,event_type 11
8423,location 500,0,severity_type 2,resource_type 2,feature 312,2,event_type 35
17894,location 1058,0,severity_type 2,resource_type 8,feature 68,1,event_type 11
14642,location 497,0,severity_type 2,resource_type 2,feature 312,71,event_type 34
5292,location 471,0,severity_type 2,resource_type 2,feature 233,2,event_type 34
