fault_severity,location,log_feature,volume,event_type
0,644,202,1,1
0,431,143,3,23
0,655,199,1,1
0,873,21,1,8
0,457,99,4,22
0,504,98,7,22
0,146,99,3,22
0,2,143,2,22
0,250,98,1,22
0,377,143,3,22
0,664,203,2,1
0,141,143,1,22
0,569,74,4,5
0,687,63,2,1
0,689,203,1,1
0,734,65,4,1
0,178,143,1,23
0,749,64,1,5
0,870,211,7,5
0,705,216,1,1
0,862,203,1,1
0,134,100,1,23
0,675,190,1,1
0,840,172,2,30
0,159,144,2,22
0,490,143,1,23
0,7,72,1,5
0,786,74,2,5
0,585,48,3,1
0,818,65,1,1
0,775,213,14,5
0,139,101,4,23
0,448,98,3,22
0,832,65,5,1
0,832,65,8,1
0,157,143,1,23
0,735,90,1,11
0,920,199,1,1
0,752,213,2,5
0,464,100,16,23
0,279,143,1,23
0,354,145,1,23
0,771,49,2,1
0,777,203,3,1
0,140,143,1,22
0,600,170,1,37
0,678,199,1,1
0,317,98,1,22
0,911,213,7,5
0,298,143,1,22
0,844,136,2,10
0,32,189,1,1
0,858,49,1,1
0,850,144,1,22
0,29,49,2,1
0,460,98,1,22
0,746,63,1,1
0,452,138,1,23
0,49,205,1,1
0,502,146,2,22
0,739,213,6,5
0,35,48,3,1
0,451,139,1,23
0,739,213,32,5
0,463,143,1,22
0,686,64,1,1
0,19,213,4,5
0,887,143,1,23
0,557,65,6,1
0,644,202,2,5
0,686,213,4,5
0,569,213,14,5
0,257,143,4,23
0,111,21,1,8
0,478,145,11,23
0,614,213,6,5
0,823,189,1,1
0,466,94,28,22
0,467,94,20,23
0,162,143,2,23
0,442,146,1,22
0,660,189,1,1
0,235,143,1,23
0,372,143,4,23
0,659,66,1,1
0,898,74,4,1
0,321,143,3,22
0,557,65,2,1
0,18,211,4,5
0,313,143,1,22
0,137,101,1,23
0,145,146,2,22
0,48,203,4,1
0,487,99,1,23
0,470,98,6,22
0,492,142,1,22
0,145,144,2,22
0,743,199,2,1
0,841,64,4,5
0,7,211,2,5
0,135,101,2,23
0,472,145,4,22
0,911,213,14,5
0,572,48,4,1
0,479,146,9,22
0,240,143,1,23
0,692,65,1,1
0,454,141,6,23
0,244,143,30,23
0,453,98,2,22
0,168,98,9,23
0,492,144,2,23
0,301,132,1,23
0,490,98,6,22
0,473,98,12,23
0,145,132,2,23
0,750,202,4,5
0,882,201,1,1
0,451,100,5,23
0,662,64,3,5
0,466,96,26,22
0,372,98,7,22
0,756,63,1,1
0,168,143,2,23
0,670,21,1,8
0,585,48,2,1
0,139,99,6,22
0,244,100,65,23
0,480,143,10,23
0,481,143,24,23
0,488,144,1,22
0,870,211,6,5
0,465,100,1,22
0,448,143,3,22
0,787,213,18,5
0,707,163,5,40
0,460,144,3,23
0,750,202,5,1
0,458,98,2,22
0,487,99,2,22
0,131,98,1,22
0,841,202,3,40
0,135,146,2,22
0,752,64,1,5
0,750,64,3,1
0,139,101,5,23
0,481,100,15,22
0,189,143,1,22
0,75,213,12,5
0,462,98,2,23
0,746,201,2,1
0,283,143,3,22
0,287,93,1,22
0,831,203,2,1
0,168,143,1,23
0,656,63,3,1
0,457,98,6,23
0,137,101,5,23
0,464,144,2,22
0,168,98,4,23
0,48,203,1,1
0,621,48,1,1
0,862,203,1,1
0,659,202,2,5
0,450,93,1,22
0,652,65,1,1
0,492,144,6,23
0,662,64,3,5
0,483,146,7,23
0,323,139,1,22
0,832,203,1,1
0,214,98,1,23
0,25,65,1,1
0,20,146,1,23
0,137,98,1,23
0,146,99,2,22
0,433,143,1,23
0,157,138,1,22
0,662,202,1,5
0,858,190,2,1
0,756,201,9,1
0,56,189,2,1
0,168,143,15,22
0,463,98,9,22
0,146,99,1,22
0,292,146,1,22
0,321,143,1,23
0,656,21,1,8
0,451,143,4,23
0,231,143,1,23
0,862,203,1,1
0,709,213,14,5
0,695,85,1,8
0,502,146,3,23
0,858,190,1,1
0,230,145,1,23
0,31,189,2,1
0,110,199,1,1
0,462,98,7,23
0,764,213,10,5
0,159,93,1,22
0,735,183,1,1
0,451,143,11,22
0,777,203,2,1
0,99,73,2,1
0,2,143,1,23
0,241,143,1,23
0,557,203,6,1
0,433,98,7,23
0,580,211,1,5
0,369,143,3,23
0,145,99,3,22
0,786,213,21,5
0,134,143,1,23
0,404,146,1,22
0,294,138,1,22
0,481,143,10,22
0,15,189,1,1
0,454,100,4,23
0,621,189,1,1
0,453,98,8,22
0,445,143,2,23
0,469,94,1,22
0,274,143,1,23
0,860,74,1,5
0,483,143,3,23
0,139,143,8,23
0,139,143,4,23
0,346,143,1,23
0,734,65,14,1
0,493,143,7,22
0,825,201,2,1
0,462,138,1,22
0,702,48,2,1
0,491,144,11,23
0,834,171,1,29
0,113,199,1,1
0,817,203,3,1
0,764,213,7,5
0,449,98,2,22
0,752,202,3,1
0,75,213,8,5
0,766,202,4,5
0,230,98,3,23
0,837,171,8,28
0,283,143,3,23
0,459,99,3,22
0,137,98,4,23
0,246,143,10,23
0,146,146,4,22
0,817,203,2,1
0,465,98,3,23
0,214,146,1,23
0,450,143,45,23
0,848,212,2,1
0,139,146,2,22
0,42,213,16,5
0,164,132,1,22
0,251,143,2,23
0,764,64,4,1
0,646,189,1,1
0,282,143,1,23
0,488,146,5,22
0,137,144,2,23
0,870,213,1,5
0,135,143,1,23
0,52,211,2,5
0,648,205,4,11
0,653,48,6,1
0,797,201,1,1
0,159,144,2,23
0,879,115,1,3
0,467,94,26,22
0,35,189,4,1
0,490,98,1,22
0,893,49,2,1
0,646,199,1,1
0,7,211,4,5
0,436,98,3,22
0,465,80,1,23
0,882,73,2,1
0,466,139,27,22
0,462,99,4,23
0,493,143,5,22
0,492,144,3,23
0,7,72,2,5
0,135,143,4,23
0,435,143,2,23
0,313,99,3,22
0,918,115,1,3
0,749,64,6,1
0,469,143,19,23
0,771,49,2,1
0,817,65,1,1
0,137,143,3,23
0,484,98,4,22
0,463,93,1,23
0,756,201,5,1
0,372,143,4,23
0,280,101,1,22
0,170,98,2,22
0,746,186,1,1
0,473,99,5,22
0,734,65,2,1
0,451,98,9,22
0,629,49,8,1
0,141,99,3,22
0,749,202,2,5
0,825,201,1,1
0,460,144,8,22
0,141,143,1,23
0,158,98,1,22
0,443,98,3,23
0,375,98,6,23
0,445,143,4,23
0,490,143,12,23
0,754,203,1,1
0,881,48,1,1
0,480,95,1,23
0,460,98,3,23
0,887,143,1,23
0,246,98,25,23
0,817,65,6,1
0,166,98,6,22
0,831,203,3,1
0,687,65,6,1
0,506,143,4,23
0,112,189,1,1
0,20,145,1,22
0,269,144,1,22
0,614,213,5,5
0,391,132,1,23
0,662,202,4,5
0,293,99,1,22
0,145,144,1,22
0,662,64,4,5
0,829,65,2,1
0,557,203,2,1
0,213,144,1,22
0,735,42,2,4
0,702,189,2,1
0,451,145,11,23
0,467,96,22,22
0,775,74,11,5
0,482,143,6,23
0,887,143,1,23
0,312,144,4,22
0,406,138,1,22
0,779,199,1,1
0,189,144,1,23
0,764,211,1,1
0,741,191,2,5
0,137,99,1,22
0,728,137,1,11
0,457,144,1,22
0,850,94,1,22
0,141,98,1,23
0,375,143,6,23
0,146,144,1,22
0,707,48,2,1
0,18,72,6,5
0,911,213,12,5
0,457,144,6,23
0,401,143,1,23
0,451,100,14,23
0,394,132,1,23
0,832,203,4,1
0,756,201,2,1
0,859,98,2,23
0,131,143,16,23
0,481,93,1,23
0,146,99,1,22
0,739,213,14,5
0,835,120,2,28
0,491,98,9,23
0,749,64,1,1
0,332,144,1,23
0,482,98,3,22
0,777,203,4,1
0,876,212,1,1
0,687,201,3,1
0,137,143,1,23
0,850,143,2,23
0,504,98,6,22
0,494,143,23,23
0,245,100,37,23
0,436,143,1,23
0,8,211,6,5
0,887,96,1,23
0,325,144,1,23
0,146,98,6,23
0,252,143,1,22
0,244,100,1,22
0,295,143,2,23
0,771,49,1,1
0,99,73,4,1
0,35,189,6,1
0,269,144,1,22
0,478,145,11,22
0,624,190,1,1
0,817,65,6,1
0,209,98,3,23
0,389,138,1,23
0,20,140,1,23
0,492,144,24,23
0,741,191,2,5
0,443,143,3,22
0,99,73,4,1
0,714,190,2,1
0,138,101,3,23
0,709,213,4,5
0,11,65,1,1
0,733,21,1,8
0,20,144,1,22
0,377,143,2,23
0,297,143,1,23
0,840,120,1,28
0,372,98,4,22
0,833,171,3,30
0,780,48,2,1
0,476,138,1,22
0,760,189,1,1
0,707,189,2,1
0,282,143,1,23
0,108,202,12,1
0,614,211,1,5
0,60,213,2,5
0,624,190,2,1
0,466,94,30,22
0,116,199,1,1
0,134,140,1,23
0,707,163,11,40
0,520,32,4,0
0,241,98,4,22
0,569,213,23,5
0,246,143,5,22
0,20,146,1,23
0,605,166,2,30
0,694,199,1,5
0,566,213,14,5
0,460,101,1,23
0,313,143,2,22
0,32,48,4,1
0,775,213,16,5
0,832,203,3,1
0,62,203,1,1
0,472,98,12,23
0,117,190,2,1
0,503,99,1,23
0,554,65,3,1
0,734,65,4,1
0,91,48,1,1
0,86,213,2,5
0,404,146,1,23
0,773,48,3,1
0,145,143,4,22
0,51,213,6,5
0,700,49,1,1
0,137,101,5,23
0,433,98,4,23
0,887,144,2,23
0,795,199,2,1
0,139,98,10,23
0,490,143,4,23
0,162,132,1,23
0,170,143,3,23
0,750,64,1,5
0,244,143,27,22
0,841,202,2,40
0,135,144,1,23
0,178,98,5,23
0,159,98,3,22
0,579,202,2,5
0,495,143,18,22
0,139,99,4,23
0,146,132,2,23
0,479,143,1,23
0,495,98,2,22
0,834,126,1,28
0,840,127,1,28
0,481,95,1,23
0,673,21,1,9
0,20,139,2,23
0,787,213,20,5
0,9,65,1,1
0,246,143,34,23
0,172,98,3,22
0,922,48,4,1
0,8,211,6,5
0,656,201,1,1
0,137,101,2,22
0,662,202,9,5
0,480,143,19,23
0,867,21,2,8
0,244,145,1,23
0,838,172,1,30
0,461,145,10,23
0,557,65,2,1
0,329,144,1,23
0,52,72,1,5
0,452,143,11,22
0,410,132,4,23
0,463,143,4,22
0,487,98,1,22
0,433,143,1,23
0,313,144,5,23
0,20,141,1,23
0,656,201,3,1
0,141,143,1,22
0,392,140,1,23
0,137,99,6,23
0,451,145,6,23
0,450,143,2,23
0,137,98,3,22
0,887,94,1,23
0,159,101,1,23
0,59,203,1,1
0,624,49,6,1
0,881,189,1,1
0,786,74,8,5
0,135,98,2,23
0,433,143,3,23
0,464,100,1,23
0,433,98,8,23
0,898,74,1,5
0,165,143,1,23
0,288,93,1,22
0,918,199,1,1
0,146,99,1,23
0,462,144,2,22
0,481,145,20,22
0,139,143,7,23
0,139,144,8,22
0,709,213,6,5
0,734,65,10,1
0,752,202,1,5
0,493,143,20,22
0,135,98,4,22
0,166,143,2,23
0,600,120,3,28
0,845,189,2,1
0,132,98,16,22
0,460,143,2,23
0,911,213,16,5
0,695,199,1,3
0,490,101,1,23
0,686,202,1,1
0,462,95,3,23
0,472,143,16,22
0,135,99,3,23
0,87,211,2,5
0,451,100,12,22
0,463,98,3,23
0,871,211,1,5
0,821,115,1,3
0,370,99,5,22
0,443,143,1,23
0,466,143,2,23
0,244,138,1,23
0,117,199,1,1
0,779,49,1,1
0,242,138,2,23
0,756,201,7,1
0,659,213,10,5
0,189,144,2,23
0,257,143,6,23
0,450,143,43,23
0,480,98,5,22
0,15,48,1,1
0,301,143,1,23
0,141,144,3,22
0,557,203,1,1
0,8,213,21,5
0,246,143,22,23
0,695,153,2,1
0,441,143,1,23
0,229,138,1,23
0,665,49,1,1
0,649,21,1,9
0,256,144,1,22
0,135,101,3,23
0,166,143,16,23
0,246,143,5,23
0,484,146,2,23
0,101,74,6,5
0,469,143,9,23
0,110,199,1,1
0,735,183,1,4
0,739,213,6,5
0,479,146,21,23
0,108,202,7,1
0,709,64,1,5
0,272,145,2,23
0,832,65,4,1
0,491,98,7,23
0,451,145,10,22
0,480,143,26,23
0,166,98,13,22
0,377,143,2,23
0,749,202,7,1
0,324,139,1,23
0,75,74,8,5
0,662,202,5,5
0,676,48,1,1
0,887,99,1,23
0,680,189,5,1
0,159,144,2,23
0,126,143,1,22
0,735,42,2,1
0,129,143,1,23
0,135,98,2,23
0,172,143,3,23
0,850,93,2,22
0,480,98,2,22
0,756,201,5,1
0,452,143,2,23
0,244,98,22,22
0,681,199,1,1
0,746,186,1,1
0,20,100,1,22
0,139,146,1,23
0,32,48,6,1
0,460,98,5,22
0,42,74,12,5
0,51,213,5,5
0,135,144,5,23
0,450,98,7,22
0,663,49,2,1
0,159,143,2,22
0,493,143,4,22
0,257,143,3,23
0,871,72,3,5
0,461,145,3,22
0,756,201,5,1
0,695,199,2,3
0,605,166,1,28
0,189,146,1,23
0,152,138,1,23
0,139,143,9,23
0,315,98,3,23
0,920,189,1,1
0,246,143,32,22
0,246,143,26,22
0,7,72,6,5
0,503,98,1,22
0,665,203,1,1
0,370,99,8,22
0,876,73,2,1
0,472,98,22,22
0,732,21,1,8
0,473,98,4,22
0,368,98,74,23
0,810,21,1,8
0,893,73,2,1
0,159,146,1,23
0,34,189,3,1
0,756,201,5,1
0,139,144,3,22
0,831,203,2,1
0,456,143,4,23
0,135,101,2,23
0,375,98,6,23
0,8,211,1,5
0,734,65,3,1
0,19,213,6,5
0,272,145,1,22
0,822,190,3,1
0,463,143,11,23
0,451,143,3,23
0,504,144,1,22
0,244,145,20,22
0,292,99,3,23
0,245,100,63,22
0,777,203,1,1
0,141,144,1,22
0,464,95,1,23
0,460,146,2,23
0,113,199,3,1
0,166,98,14,23
0,661,189,1,1
0,825,212,3,1
0,472,145,2,23
0,600,170,2,37
0,602,124,1,37
0,131,143,17,23
0,351,98,2,23
0,19,213,12,5
0,749,202,1,5
0,835,166,6,29
0,243,98,1,23
0,244,100,62,23
0,137,146,1,22
0,462,98,6,23
0,817,199,1,1
0,478,141,3,23
0,115,203,4,1
0,752,202,1,1
0,112,48,1,1
0,108,64,1,5
0,269,144,1,22
0,579,213,2,5
0,464,145,1,23
0,470,98,3,22
0,159,138,1,23
0,277,143,3,22
0,832,65,2,1
0,460,143,1,23
0,569,213,16,5
0,493,98,3,23
0,326,144,1,23
0,459,143,1,23
0,821,115,2,3
0,686,213,2,1
0,110,153,1,3
0,490,143,9,23
0,766,202,5,5
0,117,190,2,1
0,494,143,7,23
0,227,143,3,22
0,297,138,1,23
0,461,145,12,23
0,462,94,5,23
0,519,32,4,0
0,115,199,1,1
0,403,143,1,22
0,859,98,2,22
0,453,143,12,22
0,478,100,5,23
0,701,190,4,1
0,476,101,1,22
0,715,189,3,1
0,139,144,6,23
0,823,199,3,1
0,164,143,1,23
0,390,132,1,23
0,168,98,4,22
0,138,101,2,23
0,135,143,5,22
0,746,201,5,1
0,277,143,2,23
0,451,138,3,23
0,744,48,3,1
0,689,36,4,1
0,47,48,1,1
0,835,171,5,28
0,139,144,11,23
0,495,143,9,23
0,110,21,1,8
0,51,213,7,5
0,15,189,1,1
0,170,143,16,23
0,456,98,1,22
0,513,143,1,22
0,327,94,1,22
0,453,98,10,23
0,292,143,4,22
0,137,101,4,22
0,453,98,7,23
0,451,145,11,22
0,881,199,1,1
0,139,143,3,22
0,175,143,1,23
0,159,93,1,22
0,183,143,1,23
0,572,189,2,1
0,833,166,2,30
0,19,50,1,1
0,99,73,2,1
0,110,153,2,3
0,746,201,4,1
0,145,98,3,22
0,925,211,1,5
0,108,202,7,1
0,481,145,10,22
0,662,202,2,5
0,53,203,1,1
0,557,203,1,1
0,662,202,3,5
0,513,143,1,23
0,473,98,5,22
0,253,143,1,23
0,674,21,1,8
0,506,144,1,22
0,136,101,4,22
0,752,213,16,5
0,483,144,10,23
0,459,146,4,23
0,669,199,1,1
0,333,146,1,23
0,709,213,2,5
0,129,143,1,22
0,131,98,18,23
0,432,98,1,22
0,43,203,1,1
0,19,213,12,5
0,139,98,3,23
0,168,143,7,22
0,774,199,1,1
0,470,143,11,22
0,764,74,4,5
0,246,143,34,23
0,850,143,2,22
0,464,138,3,22
0,479,99,12,23
0,86,213,8,5
0,459,101,2,23
0,366,144,2,23
0,652,65,3,1
0,473,98,20,23
0,702,189,1,1
0,25,65,3,1
0,756,201,2,1
0,922,189,1,1
0,912,84,4,19
0,325,144,1,23
0,470,143,2,22
0,302,143,1,23
0,493,143,17,22
0,44,191,1,1
0,453,98,10,23
0,139,101,5,23
0,461,145,24,23
0,324,132,1,23
0,461,98,1,23
0,135,99,6,23
0,465,143,1,23
0,569,74,2,5
0,905,85,1,8
0,9,203,1,1
0,470,143,11,23
0,42,74,9,5
0,777,203,4,1
0,62,203,3,1
0,557,65,3,1
0,480,145,5,23
0,482,143,2,22
0,189,144,1,23
0,242,144,2,23
0,131,98,8,23
0,764,202,1,1
0,571,49,2,1
0,464,98,1,23
0,557,203,4,1
0,749,202,4,1
0,113,48,2,1
0,457,146,3,22
0,644,202,1,1
0,89,189,3,1
0,464,99,6,22
0,479,95,5,22
0,463,100,14,23
0,457,98,3,22
0,657,48,1,1
0,368,98,69,22
0,686,202,5,1
0,8,213,22,5
0,695,48,2,1
0,146,146,2,22
0,490,98,4,23
0,911,213,15,5
0,457,98,1,22
0,97,48,3,1
0,903,85,3,8
0,218,143,1,23
0,669,199,4,1
0,462,100,1,23
0,451,94,2,23
0,469,143,3,22
0,835,120,2,28
0,312,98,2,22
0,137,138,1,23
0,483,144,3,23
0,774,189,1,1
0,756,201,10,1
0,244,143,2,23
0,825,212,4,1
0,5,85,1,8
0,361,144,1,23
0,659,213,2,5
0,487,143,2,23
0,835,127,5,30
0,493,98,8,22
0,27,199,5,1
0,837,172,1,29
0,452,143,1,23
0,465,100,6,23
0,702,48,3,1
0,139,143,2,22
0,734,65,12,1
0,479,93,2,23
0,131,98,8,23
0,829,203,1,1
0,292,144,1,22
0,323,94,1,22
0,764,64,2,1
0,495,98,7,23
0,244,98,1,23
0,364,144,1,23
0,180,98,5,22
0,139,98,1,22
0,451,141,2,23
0,696,153,2,3
0,478,98,1,23
0,495,98,4,23
0,375,143,5,23
0,445,143,5,23
0,469,98,1,23
0,746,201,2,1
0,51,213,4,5
0,687,203,2,1
0,445,143,6,22
0,476,101,1,22
0,375,98,6,23
0,18,211,6,5
0,911,213,12,5
0,438,143,5,22
0,490,98,5,23
0,875,75,2,1
0,481,145,9,23
0,709,213,12,5
0,351,144,1,22
0,469,141,1,23
0,168,98,9,22
0,478,140,1,22
0,2,143,2,23
0,245,100,1,22
0,141,98,5,22
0,159,98,1,22
0,808,21,1,8
0,8,211,3,5
0,573,189,2,1
0,754,190,2,1
0,137,101,2,22
0,140,101,1,22
0,787,213,8,5
0,95,199,1,1
0,20,144,2,22
0,445,143,1,23
0,141,143,2,22
0,472,98,9,22
0,832,65,3,1
0,375,98,5,22
0,375,98,6,22
0,858,73,2,1
0,137,138,1,23
0,787,74,2,5
0,493,143,21,22
0,829,203,2,1
0,764,211,4,5
0,27,199,1,1
0,454,96,2,23
0,749,202,3,5
0,244,98,3,22
0,817,203,2,1
0,749,202,1,5
0,494,143,21,22
0,787,213,10,5
0,297,138,1,23
0,662,202,3,5
0,780,48,1,1
0,169,98,4,23
0,7,72,2,1
0,845,189,1,1
0,99,201,5,1
0,24,203,1,1
0,211,98,1,22
0,438,98,2,22
0,51,213,4,5
0,662,211,2,5
0,92,199,1,1
0,686,64,1,1
0,483,101,3,23
0,787,74,11,5
0,487,146,2,22
0,246,143,25,23
0,244,100,39,22
0,881,189,1,1
0,453,98,11,22
0,483,146,7,23
0,108,202,15,1
0,749,202,4,5
0,460,143,3,22
0,883,203,1,1
0,246,98,28,23
0,655,199,1,1
0,433,98,11,22
0,687,201,7,1
0,473,98,2,22
0,480,143,17,23
0,714,190,3,1
0,290,143,3,22
0,698,85,2,8
0,403,99,2,23
0,269,132,1,23
0,662,202,6,5
0,452,138,1,23
0,570,189,3,1
0,817,65,6,1
0,312,146,1,22
0,248,98,1,23
0,417,146,2,23
0,664,65,1,1
0,787,213,6,5
0,786,213,7,5
0,876,212,2,1
0,433,98,7,23
0,213,143,1,23
0,244,140,1,22
0,137,143,2,22
0,817,65,6,1
0,850,145,1,23
0,62,203,3,1
0,291,98,1,22
0,230,100,2,23
0,443,145,1,23
0,259,144,2,23
0,60,213,4,5
0,43,203,1,1
0,189,143,1,23
0,467,94,27,23
0,452,143,3,22
0,157,143,1,23
0,893,49,1,1
0,172,98,3,22
0,616,72,2,5
0,397,143,1,23
0,622,189,1,1
0,476,101,3,23
0,349,143,1,23
0,136,144,7,22
0,835,126,3,29
0,749,202,1,5
0,8,213,8,5
0,188,98,1,23
0,647,21,1,8
0,689,65,2,1
0,14,48,1,3
0,780,199,1,1
0,881,48,3,1
0,247,143,4,23
0,272,132,1,23
0,648,205,6,8
0,191,141,1,23
0,614,213,10,5
0,701,190,1,1
0,480,145,9,23
0,483,99,2,23
0,246,143,23,22
0,850,93,2,23
0,280,143,1,23
0,566,213,2,5
0,146,98,2,23
0,732,21,1,11
0,746,63,4,1
0,764,213,2,5
0,472,100,2,22
0,131,98,15,22
0,368,98,72,22
0,462,98,1,23
0,860,213,4,5
0,368,98,1,22
0,60,213,6,5
0,451,145,3,22
0,457,99,6,23
0,473,143,2,23
0,746,201,4,1
0,494,142,2,22
0,777,203,1,1
0,135,101,1,22
0,662,64,1,5
0,53,203,3,1
0,626,49,8,1
0,462,98,8,22
0,487,143,1,23
0,893,212,4,1
0,831,203,1,1
0,872,21,1,8
0,60,211,1,5
0,108,202,6,5
0,648,21,1,11
0,870,211,5,5
0,146,98,5,23
0,734,65,1,1
0,624,49,7,1
0,837,127,1,28
0,780,199,2,1
0,176,143,1,23
0,503,146,1,23
0,448,143,1,23
0,292,99,1,22
0,448,98,1,23
0,139,98,8,22
0,701,190,2,1
0,375,98,9,22
0,746,201,2,1
0,480,141,3,22
0,246,98,23,22
0,505,98,11,23
0,457,98,6,22
0,463,145,26,23
0,306,143,1,23
0,454,100,10,22
0,832,203,2,1
0,832,203,6,1
0,375,143,8,22
0,734,203,11,1
0,326,144,1,23
0,135,101,3,23
0,168,98,7,23
0,557,203,7,1
0,503,143,8,22
0,787,213,5,5
0,665,203,1,1
0,832,65,1,1
0,267,143,2,23
0,571,190,2,1
0,86,213,6,5
0,182,144,1,23
0,734,65,2,1
0,735,183,1,4
0,461,100,1,22
0,848,212,2,1
0,487,98,1,22
0,20,98,4,23
0,230,145,1,23
0,871,211,1,5
0,375,98,8,22
0,139,101,1,23
0,648,21,1,8
0,290,98,2,22
0,741,191,2,5
0,137,98,3,23
0,490,98,3,22
0,451,145,9,22
0,689,203,1,1
0,445,143,4,23
0,157,143,1,23
0,707,199,1,1
0,139,143,6,23
0,624,49,1,1
0,137,144,7,22
0,95,199,3,1
0,481,94,2,22
0,787,213,12,5
0,752,213,12,5
0,461,98,1,22
0,786,213,12,5
0,146,132,1,23
0,879,115,2,1
0,492,98,3,22
0,752,213,4,5
0,292,98,1,23
0,775,74,6,5
0,662,64,4,5
0,569,213,20,5
0,506,98,11,23
0,159,138,1,23
0,647,199,1,1
0,466,94,25,22
0,168,143,2,23
0,137,146,5,23
0,488,146,1,23
0,893,212,4,1
0,483,98,2,22
0,277,143,2,22
0,569,213,12,5
0,749,202,6,5
0,457,143,5,23
0,313,143,1,23
0,394,132,1,23
0,135,145,2,22
0,135,99,4,23
0,20,96,5,22
0,686,213,2,1
0,833,120,3,29
0,406,143,2,23
0,592,137,1,11
0,17,48,2,1
0,290,143,1,23
0,659,213,2,5
0,401,143,2,23
0,834,166,8,29
0,922,199,3,1
0,832,65,2,1
0,817,203,1,1
0,117,199,1,1
0,492,143,9,22
0,20,100,1,22
0,700,49,2,1
0,53,203,1,1
0,707,163,3,40
0,467,96,22,23
0,159,144,1,22
0,137,101,2,23
0,176,143,1,23
0,135,143,2,23
0,466,96,27,23
0,756,201,4,1
0,432,144,2,22
0,701,49,1,1
0,470,143,1,23
0,466,141,29,23
0,464,98,1,22
0,870,72,1,5
0,493,145,4,22
0,614,74,2,5
0,443,145,2,23
0,189,144,1,23
0,764,64,2,5
0,904,85,1,8
0,43,203,1,1
0,480,140,3,22
0,796,48,4,1
0,189,99,1,23
0,148,143,4,22
0,445,98,4,22
0,135,99,9,22
0,481,98,1,22
0,105,211,1,5
0,882,73,3,1
0,482,143,9,23
0,476,101,2,22
0,445,143,2,23
0,245,100,1,23
0,91,199,1,1
0,734,203,9,1
0,139,144,3,23
0,662,202,4,5
0,439,143,4,22
0,492,99,3,23
0,707,163,8,40
0,786,213,10,5
0,438,141,2,22
0,835,127,5,28
0,178,143,1,22
0,465,95,3,23
0,159,138,2,23
0,569,213,12,5
0,746,63,2,1
0,167,143,5,22
0,48,49,1,1
0,109,211,1,5
0,870,74,2,5
0,137,98,2,23
0,832,65,7,1
0,301,144,1,22
0,283,143,4,22
0,701,190,1,1
